date,kpi_total_index,kpi_energy_index,cpi_yoy,cpi_energy_yoy,wage_index,wage_yoy,infl_exp_households_1y,price_se3,price_se4,elec_price_avg,elec_price_index,elec_price_yoy,price_plans_total,wage_yoy_lag1,elec_price_yoy_lag1,price_plans_total_lag1,cpi_yoy_target_next
2004-11-01,83.18,78.59,0.3983101991551052,0.1274047649382215,144.8,2.987197724039836,,,,,,,9.0,3.140613847251972,,9.0,0.2773423369106353
2004-12-01,83.16,78.38,0.2773423369106353,-0.0764915859255532,144.9,2.838892831795592,,,,,,,9.0,2.987197724039836,,9.0,-0.0362537764350467
2005-01-01,82.72,78.98,-0.0362537764350467,-0.8785140562248994,145.8,3.0388692579505383,,,,,,,9.0,2.838892831795592,,9.0,0.6783767413688802
2005-02-01,83.11,78.94,0.6783767413688802,-0.4414175810316667,146.1,3.10515172900494,,,,,,,9.0,3.0388692579505383,,9.0,0.1322592280870393
2005-03-01,83.28,78.97,0.1322592280870393,-0.2021989131808399,146.8,3.672316384180796,,,,,,,9.0,3.10515172900494,,9.0,0.2644866554460279
2005-04-01,83.4,79.14,0.2644866554460279,0.5718642775448091,146.5,3.0239099859353136,,,,,,,9.0,3.672316384180796,,9.0,0.0719510732701822
2005-05-01,83.45,79.08,0.0719510732701822,0.6747294716740848,146.8,2.8011204481792618,,,,,,,9.0,3.0239099859353136,,9.0,0.5540166204986097
2005-06-01,83.49,79.05,0.5540166204986097,0.739135975532057,147.3,3.0069930069930084,,,,,,,9.0,2.8011204481792618,,9.0,0.3377563329312494
2005-07-01,83.18,78.79,0.3377563329312494,0.3950050968399621,147.7,2.998605299860513,,,,,,,9.0,3.0069930069930084,,9.0,0.6400193213380145
2005-08-01,83.34,78.89,0.6400193213380145,0.3179043743641863,148.0,2.9207232267037364,,,,,,,9.0,2.998605299860513,,9.0,0.5994485073732125
2005-09-01,83.91,78.96,0.5994485073732125,0.4196871423120862,148.5,3.053435114503822,,,,,,,9.0,2.9207232267037364,,9.0,0.490137477585173
2005-10-01,84.06,79.09,0.490137477585173,0.5978122615110548,149.0,3.114186851211076,,,,,,,9.0,3.053435114503822,,9.0,0.8175042077422479
2005-11-01,83.86,79.27,0.8175042077422479,0.8652500318106604,149.3,3.107734806629825,,,,,,,9.0,3.114186851211076,,9.0,0.8778258778258774
2005-12-01,83.89,79.39,0.8778258778258774,1.288594029089052,149.7,3.31262939958592,,,,,,,9.0,3.107734806629825,,9.0,0.6165377176015507
2006-01-01,83.23,79.75,0.6165377176015507,0.9749303621169768,149.9,2.8120713305898493,,,,,,,9.0,3.31262939958592,,9.0,0.613644567440752
2006-02-01,83.62,80.37,0.613644567440752,1.8115024068913188,150.3,2.874743326488716,,,,,,,9.0,2.8120713305898493,,9.0,1.1167146974063291
2006-03-01,84.21,80.97,1.1167146974063291,2.5326073192351477,150.7,2.656675749318782,,,,,,,9.0,2.874743326488716,,9.0,1.4868105515587482
2006-04-01,84.64,81.24,1.4868105515587482,2.653525398028811,151.4,3.3447098976109317,,,,,,,9.0,2.656675749318782,,9.0,1.5817855002995709
2006-05-01,84.77,81.26,1.5817855002995709,2.756702073849282,151.6,3.269754768392352,,,,,,,9.0,3.3447098976109317,,9.0,1.4971852916517037
2006-06-01,84.74,81.33,1.4971852916517037,2.884250474383298,152.1,3.258655804480637,,,,,,,9.0,3.269754768392352,,9.0,1.7071411396970326
2006-07-01,84.6,81.95,1.7071411396970326,4.010661251427838,152.5,3.2498307379823954,,,,,,,9.0,3.258655804480637,,9.0,1.5838732901367836
2006-08-01,84.66,82.37,1.5838732901367836,4.4112054759792185,152.7,3.175675675675671,,,,,,,9.0,3.2498307379823954,,9.0,1.4777738052675682
2006-09-01,85.15,83.02,1.4777738052675682,5.141843971631199,153.1,3.097643097643088,,,,,,,9.0,3.175675675675671,,9.0,1.3085891030216512
2006-10-01,85.16,82.75,1.3085891030216512,4.627639398154004,153.4,2.9530201342282014,,,,,,,9.0,3.097643097643088,,9.0,1.6813737181015975
2006-11-01,85.27,83.42,1.6813737181015975,5.23527185568311,153.9,3.0810448760884013,,,,,,,9.0,2.9530201342282014,,9.0,1.645011324353307
2006-12-01,85.27,83.24,1.645011324353307,4.849477264139046,154.2,3.006012024048088,,,,,,,9.0,3.0810448760884013,,9.0,1.93439865433136
2007-01-01,84.84,83.97,1.93439865433136,5.291536050156731,154.3,2.9352901934623032,,,,,,,9.0,3.006012024048088,,9.0,1.973212150203296
2007-02-01,85.27,84.05,1.973212150203296,4.57882294388452,154.9,3.0605455755156274,,,,,,,9.0,2.9352901934623032,,9.0,1.923762023512654
2007-03-01,85.83,84.07,1.923762023512654,3.8285784858589578,155.1,2.9197080291970767,,,,,,,9.0,3.0605455755156274,,9.0,1.9258034026464976
2007-04-01,86.27,84.41,1.9258034026464976,3.90201870999507,156.1,3.1043593130779312,,,,,,,9.0,2.9197080291970767,,9.0,1.651527663088359
2007-05-01,86.17,84.14,1.651527663088359,3.5441791779473157,156.5,3.232189973614785,,,,,,,9.0,3.1043593130779312,,9.0,1.8527259853670095
2007-06-01,86.31,84.29,1.8527259853670095,3.6394934218615616,157.0,3.2215647600263075,,,,,,,9.0,3.232189973614785,,9.0,1.8676122931442276
