date,wage_index,wage_yoy
1993-01-01,93.5,4.5861297539149914
1993-02-01,93.6,4.464285714285721
1993-03-01,93.8,4.454342984409809
1993-04-01,93.9,2.510917030567694
1993-05-01,94.2,2.614379084967333
1993-06-01,94.4,2.4972855591748333
1993-07-01,94.4,2.0540540540540553
1993-08-01,94.6,2.049622437971954
1993-09-01,94.8,2.0452099031216253
1993-10-01,95.1,2.3681377825618855
1993-11-01,95.3,2.3630504833512367
1993-12-01,95.6,2.3554603854389677
1994-01-01,95.9,2.566844919786093
1994-02-01,96.1,2.6709401709401615
1994-03-01,96.2,2.558635394456288
1994-04-01,95.9,2.1299254526091493
1994-05-01,96.2,2.123142250530785
1994-06-01,96.5,2.2245762711864403
1994-07-01,96.8,2.5423728813559254
1994-08-01,97.1,2.6427061310782207
1994-09-01,97.1,2.4261603375527407
1994-10-01,97.6,2.628811777076767
1994-11-01,97.8,2.6232948583420734
1994-12-01,98.0,2.5104602510460206
1995-01-01,98.1,2.294056308654846
1995-02-01,98.3,2.289281997918846
1995-03-01,98.5,2.3908523908523938
1995-04-01,99.0,3.232533889468181
1995-05-01,99.0,2.9106029106028997
1995-06-01,99.5,3.1088082901554515
1995-07-01,100.4,3.7190082644628086
1995-08-01,100.5,3.501544799176104
1995-09-01,101.0,4.0164778578784865
1995-10-01,101.5,3.995901639344268
1995-11-01,101.9,4.192229038854811
1995-12-01,102.2,4.285714285714293
1996-01-01,103.8,5.810397553516822
1996-02-01,104.1,5.900305188199395
1996-03-01,104.5,6.091370558375631
1996-04-01,105.3,6.363636363636371
1996-05-01,105.9,6.969696969696981
1996-06-01,106.1,6.633165829145726
1996-07-01,106.3,5.876494023904377
1996-08-01,106.3,5.7711442786069655
1996-09-01,106.9,5.841584158415847
1996-10-01,106.9,5.320197044334973
1996-11-01,107.5,5.495583905789991
1996-12-01,108.2,5.870841487279854
1997-01-01,108.8,4.816955684007707
1997-02-01,109.4,5.091258405379451
1997-03-01,110.4,5.6459330143540765
1997-04-01,109.9,4.368471035137711
1997-05-01,110.4,4.249291784702547
1997-06-01,110.6,4.241281809613562
1997-07-01,110.9,4.327375352775165
1997-08-01,111.3,4.70366886171214
1997-09-01,111.6,4.396632366697828
1997-10-01,111.6,4.396632366697828
1997-11-01,112.1,4.2790697674418565
1997-12-01,112.6,4.066543438077619
1998-01-01,113.0,3.860294117647056
1998-02-01,113.1,3.3820840950639752
1998-03-01,113.7,2.9891304347826164
1998-04-01,114.0,3.730664240218373
1998-05-01,114.3,3.532608695652173
1998-06-01,114.7,3.7070524412296635
1998-07-01,115.0,3.6970243462578933
1998-08-01,115.6,3.8634321653189474
1998-09-01,115.9,3.8530465949820902
1998-10-01,116.1,4.0322580645161255
1998-11-01,116.6,4.014272970562005
1998-12-01,116.9,3.8188277087033873
1999-01-01,117.2,3.7168141592920367
1999-02-01,117.5,3.89036251105217
1999-03-01,117.6,3.430079155672816
1999-04-01,117.7,3.2456140350877183
1999-05-01,118.3,3.4995625546806686
1999-06-01,118.4,3.2258064516129004
1999-07-01,118.9,3.391304347826085
1999-08-01,119.2,3.114186851211076
1999-09-01,119.5,3.106125970664353
1999-10-01,120.1,3.445305770887175
1999-11-01,120.6,3.430531732418518
1999-12-01,120.8,3.3361847733105243
2000-01-01,121.4,3.583617747440271
2000-02-01,121.7,3.574468085106375
2000-03-01,121.9,3.656462585034026
2000-04-01,122.5,4.078164825828368
2000-05-01,122.5,3.5502958579881616
2000-06-01,123.4,4.222972972972983
2000-07-01,123.3,3.700588730025234
2000-08-01,123.6,3.691275167785224
2000-09-01,124.0,3.765690376569042
2000-10-01,124.6,3.746877601998344
2000-11-01,124.9,3.565505804311786
2000-12-01,125.4,3.8079470198675525
2001-01-01,125.8,3.624382207578236
2001-02-01,126.5,3.9441248972884146
2001-03-01,127.0,4.1837571780147575
2001-04-01,127.9,4.408163265306131
2001-05-01,128.1,4.57142857142856
2001-06-01,128.7,4.294975688816849
2001-07-01,129.1,4.703974047039727
2001-08-01,129.5,4.773462783171523
2001-09-01,130.0,4.8387096774193505
2001-10-01,130.1,4.414125200642061
2001-11-01,130.6,4.563650920736584
2001-12-01,131.1,4.545454545454541
2002-01-01,131.4,4.451510333863284
2002-02-01,131.9,4.26877470355731
2002-03-01,132.7,4.488188976377949
2002-04-01,133.1,4.065676309616872
2002-05-01,133.6,4.293520686963315
2002-06-01,134.0,4.118104118104138
2002-07-01,134.3,4.027885360185923
2002-08-01,134.7,4.015444015444003
2002-09-01,135.1,3.923076923076918
2002-10-01,135.3,3.9969254419677247
2002-11-01,135.7,3.905053598774888
2002-12-01,136.1,3.8138825324180115
2003-01-01,136.3,3.729071537290718
2003-02-01,136.7,3.6391205458680798
2003-03-01,137.2,3.3911077618688834
2003-04-01,137.6,3.380916604057105
2003-05-01,137.9,3.218562874251507
2003-06-01,138.4,3.2835820895522394
2003-07-01,138.9,3.4251675353685673
2003-08-01,139.3,3.4149962880475337
2003-09-01,139.6,3.3308660251665456
2003-10-01,140.1,3.5476718403547602
2003-11-01,140.6,3.610906411201187
2003-12-01,140.9,3.5268185157972143
2004-01-01,141.5,3.815113719735863
2004-02-01,141.7,3.657644476956845
2004-03-01,141.6,3.206997084548102
2004-04-01,142.2,3.3430232558139483
2004-05-01,142.8,3.5532994923857864
2004-06-01,143.0,3.3236994219653093
2004-07-01,143.4,3.239740820734349
2004-08-01,143.8,3.230437903804728
2004-09-01,144.1,3.2234957020057298
2004-10-01,144.5,3.140613847251972
2004-11-01,144.8,2.987197724039836
2004-12-01,144.9,2.838892831795592
2005-01-01,145.8,3.0388692579505383
2005-02-01,146.1,3.10515172900494
2005-03-01,146.8,3.672316384180796
2005-04-01,146.5,3.0239099859353136
2005-05-01,146.8,2.8011204481792618
2005-06-01,147.3,3.0069930069930084
2005-07-01,147.7,2.998605299860513
2005-08-01,148.0,2.9207232267037364
2005-09-01,148.5,3.053435114503822
2005-10-01,149.0,3.114186851211076
2005-11-01,149.3,3.107734806629825
2005-12-01,149.7,3.31262939958592
2006-01-01,149.9,2.8120713305898493
2006-02-01,150.3,2.8747433264887157
2006-03-01,150.7,2.656675749318782
2006-04-01,151.4,3.3447098976109313
2006-05-01,151.6,3.2697547683923522
2006-06-01,152.1,3.258655804480637
2006-07-01,152.5,3.2498307379823954
2006-08-01,152.7,3.175675675675671
2006-09-01,153.1,3.097643097643088
2006-10-01,153.4,2.9530201342282014
2006-11-01,153.9,3.0810448760884013
2006-12-01,154.2,3.006012024048088
2007-01-01,154.3,2.9352901934623032
2007-02-01,154.9,3.0605455755156274
2007-03-01,155.1,2.9197080291970767
2007-04-01,156.1,3.1043593130779312
2007-05-01,156.5,3.232189973614785
2007-06-01,157.0,3.2215647600263075
2007-07-01,157.4,3.2131147540983562
2007-08-01,157.8,3.3398821218074914
2007-09-01,158.5,3.527106466361851
2007-10-01,159.0,3.650586701434144
2007-11-01,159.5,3.6387264457439894
2007-12-01,160.2,3.891050583657596
2008-01-01,161.1,4.406999351911844
2008-02-01,161.5,4.260813428018073
2008-03-01,162.6,4.835589941972929
2008-04-01,162.5,4.099935938500954
