date,kpi_total_index,kpi_energy_index,cpi_yoy,cpi_energy_yoy
1981-01-01,31.92,26.03,12.473572938689227,13.07558644656821
1981-02-01,32.53,26.99,12.91218326969803,14.315967810249886
1981-03-01,32.71,27.07,12.948895027624307,14.41251056635673
1981-04-01,32.9,27.23,12.86449399656946,14.363712725745504
1981-05-01,33.1,27.28,13.16239316239316,13.99916422900127
1981-06-01,33.22,27.55,13.301500682128232,14.410299003322269
1981-07-01,33.53,27.83,13.391951301995263,15.142738932561016
1981-08-01,33.78,28.11,13.584398117014128,15.82200247218788
1981-09-01,34.02,28.19,11.249182472204078,16.008230452674898
1981-10-01,34.25,28.09,10.412637008381687,13.403310456197005
1981-11-01,34.38,28.23,10.157000961230377,13.010408326661338
1981-12-01,34.2,28.28,9.125717932354839,12.669322709163344
1982-01-01,34.95,29.47,9.492481203007518,13.215520553207828
1982-02-01,35.45,29.55,8.976329541961281,9.484994442386085
1982-03-01,35.54,29.18,8.651788443900932,7.794606575544871
1982-04-01,35.77,29.39,8.723404255319167,7.93242746970253
1982-05-01,35.93,29.5,8.549848942598182,8.137829912023452
1982-06-01,36.05,29.57,8.518964479229375,7.33212341197822
1982-07-01,36.3,29.88,8.261258574410956,7.366151634926332
1982-08-01,36.39,29.91,7.7264653641207826,6.4034151547492035
1982-09-01,36.59,29.93,7.554379776602005,6.17240156083716
1982-10-01,37.1,30.45,8.32116788321169,8.401566393734416
1982-11-01,37.39,30.61,8.75509016870273,8.430747431810136
1982-12-01,37.5,30.63,9.64912280701753,8.309759547383312
1983-01-01,38.33,31.45,9.670958512160222,6.718696979979644
1983-02-01,38.34,30.9,8.152327221438638,4.5685279187817285
1983-03-01,38.48,30.76,8.272369161508152,5.414667580534616
1983-04-01,38.79,30.76,8.442829186469103,4.6614494726097355
1983-05-01,39.03,30.99,8.627887559142788,5.050847457627117
1983-06-01,39.24,31.09,8.848821081830804,5.1403449442001925
1983-07-01,39.56,31.34,8.980716253443543,4.886211512717531
1983-08-01,39.76,31.33,9.260785930200587,4.7475760615178775
